Adverse Event,Count
anxiety,1361
pain,1320
emotional distress,1282
anhedonia,1156
virologic failure,1114
depression,875
foetal exposure during pregnancy,857
maternal exposure during pregnancy,788
chronic kidney disease,769
drug resistance,728
osteoporosis,714
viral mutation identified,679
pathogen resistance,641
drug interaction,580
bone density decreased,535
renal failure,510
economic problem,488
treatment failure,473
acute kidney injury,458
osteopenia,435
renal impairment,427
immune reconstitution inflammatory syndrome,390
loss of personal independence in daily activities,370
anaemia,363
abortion spontaneous,353
exposure during pregnancy,330
death,321
lipodystrophy acquired,317
fatigue,302
drug ineffective,279
treatment noncompliance,275
blood creatinine increased,258
gait disturbance,236
end stage renal disease,236
insomnia,216
diarrhoea,215
neurotoxicity,215
stillbirth,214
diplopia,212
small for dates baby,211
mitochondrial toxicity,208
eyelid ptosis,208
pyrexia,205
hypertension,203
asthenia,202
abortion induced,191
vomiting,188
nausea,181
bone demineralisation,170
progressive external ophthalmoplegia,167
multiple fractures,159
rash,153
suicidal ideation,152
tooth loss,147
drug-induced liver injury,144
pregnancy,142
back pain,140
osteonecrosis,140
live birth,133
quality of life decreased,132
arthralgia,132
psychotic disorder,132
bone loss,129
proteinuria,127
caesarean section,126
intentional product use issue,126
off label use,124
premature delivery,122
nervous system disorder,120
condition aggravated,118
decreased activity,116
dizziness,116
normal newborn,113
foot fracture,113
psychiatric decompensation,113
alanine aminotransferase increased,112
headache,112
mobility decreased,112
fanconi syndrome acquired,110
weight decreased,109
toxicity to various agents,109
depression suicidal,108
paranoia,106
tearfulness,105
diabetes mellitus,103
renal injury,102
aspartate aminotransferase increased,102
congenital umbilical hernia,102
depressive symptom,99
psychomotor skills impaired,98
kaposi's sarcoma,98
dyspnoea,97
dyslipidaemia,96
nephropathy toxic,95
myalgia,93
nephrolithiasis,93
ophthalmoplegia,91
dysstasia,91
blood hiv rna increased,90
viral load increased,89
decreased appetite,87
product use issue,86
pulmonary tuberculosis,85
product use in unapproved indication,85
renal disorder,85
general physical health deterioration,84
multiple-drug resistance,81
foetal growth restriction,80
pneumonia,77
ankle fracture,74
rib fracture,74
immune reconstitution inflammatory syndrome associated tuberculosis,74
malaise,73
neuropathy peripheral,71
prescribed overdose,69
sepsis,67
bone pain,67
hypophosphataemia,65
hiv infection,65
dysphagia,64
urinary tract infection,64
vertigo,63
hip fracture,63
acute myocardial infarction,63
nightmare,62
weight increased,61
nephropathy,61
genotype drug resistance test positive,61
cough,60
hypersensitivity,59
gastrointestinal disorder,59
hiv viraemia,59
pruritus,59
abdominal pain,59
fracture,59
neutropenia,57
wrist fracture,57
tuberculosis,57
hepatotoxicity,57
pain in extremity,56
abnormal dreams,56
skeletal injury,55
pancytopenia,55
pollakiuria,54
birth mark,54
sleep disorder,54
pregnancy with implant contraceptive,54
meningitis cryptococcal,53
myocardial infarction,52
autoimmune hepatitis,52
vitamin d deficiency,52
extraocular muscle paresis,52
fall,52
pneumocystis jirovecii pneumonia,52
encephalopathy,51
osteoarthritis,49
drug level increased,49
lymphadenopathy,48
femur fracture,48
rash maculo-papular,47
lactic acidosis,47
gynaecomastia,46
atrial septal defect,46
ataxia,46
hydrops foetalis,45
incorrect route of product administration,45
foetal death,45
retinal toxicity,45
arthritis,45
labelled drug-drug interaction medication error,44
renal cyst,44
muscular weakness,44
oral candidiasis,43
skin lesion,43
upper limb fracture,42
premature rupture of membranes,42
seizure,42
hepatic function abnormal,42
aplasia pure red cell,42
hepatitis c,42
fanconi syndrome,41
cd4 lymphocytes decreased,41
chest pain,41
hepatic cytolysis,41
cerebrovascular accident,41
adverse event,41
somnolence,41
hand fracture,40
talipes,40
hepatic cirrhosis,40
hyperlipidaemia,40
lower limb fracture,39
jaundice,39
drug abuse,39
ventricular septal defect,39
gastroenteritis,39
hyperkalaemia,39
stevens-johnson syndrome,38
confusional state,38
osteomalacia,38
hip arthroplasty,38
pancreatitis,37
drug intolerance,37
blood bilirubin increased,37
disease recurrence,37
dehydration,37
respiratory failure,36
psychomotor retardation,36
fear,36
thrombocytopenia,36
pulmonary embolism,36
cleft lip and palate,35
thrombosis,35
haematuria,35
disturbance in attention,35
hyperhidrosis,35
